Year,Player,Team,Position,Bid_Amount
2022,Ronald Jones,Tittsburgh Feelers,N/A,1
2022,Hunter Henry,Fairview Fat Cats,N/A,1
2022,Russell Gage,Poulsbo Polliwogs,N/A,1
2022,Jahan Dotson,San Diego Shadowcöcks,N/A,1
2022,Steelers D/ST,Honolulu Horndogs,N/A,1
2022,Jarvis Landry,Westeros  Warlords,N/A,1
2022,Joshua Palmer,Fairview Fat Cats,N/A,1
2022,Graham Gano,Poulsbo Polliwogs,N/A,1
2022,DeVante Parker,Honolulu Horndogs,N/A,1
2022,Mike Gesicki,Westeros  Warlords,N/A,1
2022,Chargers D/ST,Poulsbo Polliwogs,N/A,1
2022,Rams D/ST,Westeros  Warlords,N/A,1
2022,Robbie Gould,Westeros  Warlords,N/A,1
2022,Marvin Jones Jr.,Westeros  Warlords,N/A,1
2022,Jakobi Meyers,Westeros  Warlords,N/A,1
2022,Nico Collins,Westeros  Warlords,N/A,1
2023,Harrison Butker,Pasco Pounders,N/A,1
2023,Dameon Pierce,San Diego Shadowcöcks,N/A,18
2023,Najee Harris,Westeros  Warlords,N/A,28
2023,Kenneth Walker III,Westeros  Warlords,N/A,34
2023,Tyreek Hill,San Diego Shadowcöcks,N/A,62
2023,Justin Jefferson,Goleta Gringos,N/A,74
2023,Ja'Marr Chase,San Diego Shadowcöcks,N/A,67
2023,Justin Tucker,Honolulu Horndogs,N/A,2
2023,Javonte Williams,Westeros  Warlords,N/A,17
2023,Jonathan Taylor,Tijuana Sanchitos,N/A,15
2023,Derrick Henry,Tittsburgh Feelers,N/A,61
2023,Daniel Carlson,Fairview Fat Cats,N/A,2
2023,Travis Kelce,Squaw Valley Skinners,N/A,67
2023,Christian McCaffrey,Tijuana Sanchitos,N/A,66
2023,Joe Mixon,Honolulu Horndogs,N/A,24
2023,Evan McPherson,San Diego Shadowcöcks,N/A,2
2023,Nick Chubb,Pasco Pounders,N/A,65
2023,Austin Ekeler,Fairview Fat Cats,N/A,63
2023,Garrett Wilson,Poulsbo Polliwogs,N/A,50
2023,49ers D/ST,San Diego Shadowcöcks,N/A,2
2023,Cooper Kupp,Squaw Valley Skinners,N/A,46
2023,Davante Adams,Honolulu Horndogs,N/A,54
2023,Tony Pollard,DC Mighty Cucks,N/A,59
2023,Steelers D/ST,Fairview Fat Cats,N/A,2
2023,Mark Andrews,DC Mighty Cucks,N/A,24
2023,Bijan Robinson,DC Mighty Cucks,N/A,59
2023,Breece Hall,Westeros  Warlords,N/A,29
2023,Stefon Diggs,Tijuana Sanchitos,N/A,53
2023,Christian Watson,Pasco Pounders,N/A,15
2023,Zach Charbonnet,Pasco Pounders,N/A,3
2023,Amon-Ra St. Brown,Honolulu Horndogs,N/A,43
2023,Josh Jacobs,Goleta Gringos,N/A,56
2023,Travis Etienne Jr.,Pasco Pounders,N/A,34
2023,Aaron Jones,Tittsburgh Feelers,N/A,31
2023,Jalen Hurts,DC Mighty Cucks,N/A,27
2023,Saquon Barkley,Poulsbo Polliwogs,N/A,62
2023,Calvin Ridley,Chula Vista Chupacabras,N/A,32
2023,CeeDee Lamb,Westeros  Warlords,N/A,46
2023,Alexander Mattison,Chula Vista Chupacabras,N/A,18
2023,A.J. Brown,San Diego Shadowcöcks,N/A,37
2023,Commanders D/ST,Tittsburgh Feelers,N/A,1
2023,Patrick Mahomes,Pasco Pounders,N/A,30
2023,James Conner,Honolulu Horndogs,N/A,17
2023,Josh Allen,Tittsburgh Feelers,N/A,27
2023,Lamar Jackson,Fairview Fat Cats,N/A,25
2023,Rachaad White,Chula Vista Chupacabras,N/A,19
2023,DeVonta Smith,Tijuana Sanchitos,N/A,25
2023,Tee Higgins,Westeros  Warlords,N/A,22
2023,Jahmyr Gibbs,Chula Vista Chupacabras,N/A,40
2023,Deebo Samuel,Poulsbo Polliwogs,N/A,17
2023,Keenan Allen,Poulsbo Polliwogs,N/A,20
2023,DK Metcalf,Chula Vista Chupacabras,N/A,31
2023,Joe Burrow,Tijuana Sanchitos,N/A,13
2023,Tua Tagovailoa,Squaw Valley Skinners,N/A,2
2023,Justin Fields,Chula Vista Chupacabras,N/A,19
2023,Chris Olave,Fairview Fat Cats,N/A,34
2023,Saints D/ST,Honolulu Horndogs,N/A,2
2023,Cowboys D/ST,Squaw Valley Skinners,N/A,2
2023,Jaylen Waddle,Squaw Valley Skinners,N/A,37
2023,Darren Waller,Poulsbo Polliwogs,N/A,20
2023,Alvin Kamara,Pasco Pounders,N/A,14
2023,Rhamondre Stevenson,Goleta Gringos,N/A,34
2023,Mike Williams,Goleta Gringos,N/A,14
2023,T.J. Hockenson,Chula Vista Chupacabras,N/A,24
2023,Amari Cooper,Pasco Pounders,N/A,20
2023,Dalvin Cook,Tijuana Sanchitos,N/A,12
2023,James Cook,Tittsburgh Feelers,N/A,22
2023,DJ Moore,Fairview Fat Cats,N/A,9
2023,Patriots D/ST,Goleta Gringos,N/A,1
2023,Ravens D/ST,Chula Vista Chupacabras,N/A,1
2023,AJ Dillon,Chula Vista Chupacabras,N/A,5
2023,Jerry Jeudy,Honolulu Horndogs,N/A,8
2023,Jets D/ST,Westeros  Warlords,N/A,2
2023,Cam Akers,Squaw Valley Skinners,N/A,13
2023,George Kittle,Tittsburgh Feelers,N/A,13
2023,Jason Myers,Westeros  Warlords,N/A,1
2023,Justin Herbert,Westeros  Warlords,N/A,11
2023,Christian Kirk,Tittsburgh Feelers,N/A,6
2023,Kyle Pitts,Fairview Fat Cats,N/A,11
2023,Diontae Johnson,Fairview Fat Cats,N/A,5
2023,Deshaun Watson,Honolulu Horndogs,N/A,12
2023,Miles Sanders,Squaw Valley Skinners,N/A,23
2023,Odell Beckham Jr.,Poulsbo Polliwogs,N/A,3
2023,Isiah Pacheco,Fairview Fat Cats,N/A,12
2023,Bills D/ST,Pasco Pounders,N/A,1
2023,Khalil Herbert,Poulsbo Polliwogs,N/A,12
2023,Tyler Bass,Tittsburgh Feelers,N/A,2
2023,Graham Gano,Chula Vista Chupacabras,N/A,2
2023,Mike Evans,Fairview Fat Cats,N/A,6
2023,Terry McLaurin,Chula Vista Chupacabras,N/A,5
